topic,answer,context
'I want to  enter into Ambient mode. How can I do that?',"'To enter into Ambient Mode, you need to press the specified button on the remote control. In the provided context, it mentions that to enter Ambient Mode, you should press the button on the Samsung TV remote control.'","Changing the content and settings for Ambient Mode. When you press the button in Ambient Mode , the Ambient Mode browser screen appears. In the Ambient Mode browser screen, you can select content and change the Ambient Mode settings. Setting up the content for Ambient Mode The Ambient Mode browser screen displays content at the top and categories at the bottom. Use the left or right directional buttons in the content list at the top to move the focus to content you want, and then press the Select button. The selected content is played in Ambient Mode In the future, more content that you can set up in the Ambient Mode browser will be provided. You can select the following categories and content: Decor : Allows you to select beautiful screens. Info : Provides information such as weather, news headlines, and more. This function may not be supported depending on the geographical area. Photo : Allows you to set a picture stored in your mobile device as the wallpaper of the Ambient Mode screen. You can configure special layouts using your photos. To save photos from your mobile device to the TV and import them in Ambient Mode , use the SmartThings app on your mobile device.  Setting up the Ambient Mode details In the Ambient Mode browser screen, move the focus to , and then press the Select button. You can change the following settings: Brightness : Adjusts the screen brightness for Ambient Mode Color Tone : Adjusts the colors of the screen for Ambient Mode Auto Brightness : Changes the auto brightness setting for Ambient Mode When this function is set to Off , the brightness level of the TV screen is not automatically adjusted according to the ambient light level. Ambient Off Timer : Sets the time that the Ambient Mode screen turns off automatically. If there is no remote control input for the set time, the TV switches to the black screen state. Changing the background color of Ambient Mode To change the background color of Ambient Mode , move the focus to in the Ambient Mode browser screen, and then press the Select button. You can change the background color or pattern. Move the focus to a color or pattern you want, and then press the Select button. Take a picture of a wall using the SmartThings app on your mobile device to set it as the background of Ambient Mode This function may have a delay in image transmission and optimization depending on the network conditions. Changing the content and settings for Ambient Mode. When you press the button in Ambient Mode , the Ambient Mode browser screen appears. In the Ambient Mode browser screen, you can select content and change the Ambient Mode settings. Setting up the content for Ambient Mode The Ambient Mode browser screen displays content at the top and categories at the bottom. Use the left or right directional buttons in the content list at the top to move the focus to content you want, and then press the Select button. The selected content is played in Ambient Mode In the future, more content that you can set up in the Ambient Mode browser will be provided. You can select the following categories and content: Decor : Allows you to select beautiful screens. Info : Provides information such as weather, news headlines, and more. This function may not be supported depending on the geographical area. Photo : Allows you to set a picture stored in your mobile device as the wallpaper of the Ambient Mode screen. You can configure special layouts using your photos. To save photos from your mobile device to the TV and import them in Ambient Mode , use the SmartThings app on your mobile device.  Setting up the Ambient Mode details In the Ambient Mode browser screen, move the focus to , and then press the Select button. You can change the following settings: Brightness : Adjusts the screen brightness for Ambient Mode Color Tone : Adjusts the colors of the screen for Ambient Mode Auto Brightness : Changes the auto brightness setting for Ambient Mode When this function is set to Off , the brightness level of the TV screen is not automatically adjusted according to the ambient light level. Ambient Off Timer : Sets the time that the Ambient Mode screen turns off automatically. If there is no remote control input for the set time, the TV switches to the black screen state. Changing the background color of Ambient Mode To change the background color of Ambient Mode , move the focus to in the Ambient Mode browser screen, and then press the Select button. You can change the background color or pattern. Move the focus to a color or pattern you want, and then press the Select button. Take a picture of a wall using the SmartThings app on your mobile device to set it as the background of Ambient Mode This function may have a delay in image transmission and optimization depending on the network conditions. Using the Ambient Mode. Learn about the functions available in Ambient Mode, which is a QLED TV-specific function. Ambient Mode The image on your TV may differ from the image above depending on the model and geographical area. Ambient Mode , you can view beautiful screens, various visual information, and notifications. To enter Ambient Mode , press the button. To return to the TV mode, press the button. To shut off the TV, press the button. If you press the button when the TV is turned off, the TV turns on in Ambient Mode If you use a remote control other than the Samsung TV remote control, there may be restrictions to entering Ambient Mode Because this function is a QLED TV-specific function, it may not be supported depending on the model. Decor Info Photo "
'Where do I find signal information ?',"'You can find signal information under ""Settings"" -> ""Support"" -> ""Self Diagnosis"" -> ""Signal Information.""'","Checking digital channel signal info and strength. Settings Support Self Diagnosis Signal Information Try Now If your TV is attached to a separate, over-the-air antenna, you can use the signal strength information to adjust the antenna for increased signal strength and improved HD channel reception. Viewing Broadcast Information at a Glance. See an overview of each channel's program lineup.Finding the contact information for service. Settings Support About This TV Try Now You can view the address of the Samsung website, the call center phone number, your TV's model number, your TV's software version, Open Source License and other information you may need to get service support from a Samsung call agent or the Samsung website. You can also view information by scanning the QR code of your TV. You can also start this function by pressing and holding the button for 5 or more seconds. For standard remote control, press and hold the button for 5 or more seconds."
'How can I view the channels that are serached by auto program function and How can I view first five favorite channel?',"'To view the channels that are searched by the auto program function, you can access the Channel List screen by pressing the right directional button on your remote control. From there, you can select ""All Channels"" to display the channels found during the Auto Program channel search.\n\nTo view the first five favorite channels, you can also access the Channel List screen by pressing the right directional button on your remote control. From there, you can select ""Favorites"" and then choose Favorites 1 from the five favorites lists displayed on the screen. This will show you the channels in the first favorites list.'","Scanning for available channels. Settings Broadcasting Auto Program Try Now Do not use this function if your TV is connected to a cable box or satellite box. If the TV has saved channels, Auto Program deletes the existing list, and then saves the newly scanned channels.Viewing and selecting channels on Favorites lists only. Live TV Channel List Press the right directional button on your remote control. Select Favorites Select the desired list among the five favorites lists on the screen. The channels in the selected favorites list appear. Only favorites lists that contain registered channels will display channels.Using the Channel List. Change the channel or check programs on other digital channels. Live TV Channel List Using the Channel List , you can change the channel or check programs on other digital channels while watching TV. The Channel List screen contains the following icons: : A favorite channel : A locked channel. If you press the right directional button when viewing the Channel List screen, you can use the following functions: All Channels Displays the channels that the TV found during the Auto Program channel search. Favorites Displays Favorites 1 Favorites 5 Air Cable To allow you to select Air Cable as the DTV mode, move the focus to Air Cable , and then press the Select button. Air is suitable for homes equipped with separate, over-the-air antennas. Cable is suitable for homes that subscribe to a local cable-service. You do not need to use this function if your TV is connected to a cable box or satellite box. TV PLUS While the TV is connected to the Internet, you can watch popular programs or highlights for each theme through a virtual channel at any time. As with regular channels, the TV provides the daily program schedules for TV PLUS This function may not be supported depending on the model or geographical area. "
'Can I configure Tint?',"'Yes, you can configure Tint by accessing the Picture settings under Expert Settings in the TV menu.'","Inverting the screen color. Settings General Accessibility Color Inversion Try Now You can invert the colors of the text and background displayed on the TV screen to make it easier to read them. Color Inversion is on, some Accessibility menus are not available. This function may not be supported depending on the model or geographical area.Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now  Tint (G/R) Try Now Apply Picture Settings Try Now Digital Clean View Try Now Auto Motion Plus Settings Try Now When LED Clear Motion is set to , the screen appears darker than when it is Off Local Dimming This function may not be supported depending on the model or geographical area. Contrast Enhancer Try Now HDR+ Mode Try Now Automatically provide an optimal HDR effect based on the video source. The HDR (High Dynamic Range) technology implements video images that are very similar to the images seen through human eyes by finely adjusting the contrast of the source. This function may not be supported depending on the model or geographical area. Film Mode Try Now This function is only available when the input signal is TV, AV, Component (480i, 1080i), or HDMI (1080i). Color Tone Try Now White Balance Try Now Gamma Try Now RGB Only Mode Try Now Color Space Settings Try Now Reset Picture Try Now Changing the content and settings for Ambient Mode. When you press the button in Ambient Mode , the Ambient Mode browser screen appears. In the Ambient Mode browser screen, you can select content and change the Ambient Mode settings. Setting up the content for Ambient Mode The Ambient Mode browser screen displays content at the top and categories at the bottom. Use the left or right directional buttons in the content list at the top to move the focus to content you want, and then press the Select button. The selected content is played in Ambient Mode In the future, more content that you can set up in the Ambient Mode browser will be provided. You can select the following categories and content: Decor : Allows you to select beautiful screens. Info : Provides information such as weather, news headlines, and more. This function may not be supported depending on the geographical area. Photo : Allows you to set a picture stored in your mobile device as the wallpaper of the Ambient Mode screen. You can configure special layouts using your photos. To save photos from your mobile device to the TV and import them in Ambient Mode , use the SmartThings app on your mobile device.  Setting up the Ambient Mode details In the Ambient Mode browser screen, move the focus to , and then press the Select button. You can change the following settings: Brightness : Adjusts the screen brightness for Ambient Mode Color Tone : Adjusts the colors of the screen for Ambient Mode Auto Brightness : Changes the auto brightness setting for Ambient Mode When this function is set to Off , the brightness level of the TV screen is not automatically adjusted according to the ambient light level. Ambient Off Timer : Sets the time that the Ambient Mode screen turns off automatically. If there is no remote control input for the set time, the TV switches to the black screen state. Changing the background color of Ambient Mode To change the background color of Ambient Mode , move the focus to in the Ambient Mode browser screen, and then press the Select button. You can change the background color or pattern. Move the focus to a color or pattern you want, and then press the Select button. Take a picture of a wall using the SmartThings app on your mobile device to set it as the background of Ambient Mode This function may have a delay in image transmission and optimization depending on the network conditions. "
'How do I fix the missing/wrong color issue ?',"""To fix the missing/wrong color issue on your TV, you can try the following steps:\n\n1. Run the Start Picture Test to determine if the problem is caused by the TV's settings. \n2. Adjust the color settings by going to Picture Expert Settings and modifying the Color and Tint (G/R) settings.\n3. Ensure that the video input connectors are connected properly to the external device.\n4. If the colors are still incorrect, try adjusting the Picture Mode settings such as Brightness and Sharpness.\n5. Check if Power Saving Mode is enabled and disable it.\n6. If the issue persists, try resetting the picture settings in the Picture Expert Settings or change the Picture Mode to standard 16:9 settings.\n7. If you are using AV or analog equipment, make sure the adapter is connected to the correct input port on the TV.\n8. If none of the above steps resolve the issue, contact Samsung's Call Center for further assistance.""","Testing the picture. Settings Support Self Diagnosis Start Picture Test Try Now Before you review the list of problems and solutions below, use Start Picture Test to determine if the problem is caused by the TV. Start Picture Test displays a high definition picture you can examine for flaws or faults. The problem Try this! Flickering and Dimming Component Connections/ Screen Color Screen Brightness Ghosting, Blurring, or Juddering If your TV is flickering or dimming sporadically, you may need to disable some of the energy efficiency features. Disable Ambient Light Detection Power Saving Mode , or Motion Lighting Settings General Eco Solution Ambient Light Detection Settings General Eco Solution Power Saving Mode Settings General Eco Solution Motion Lighting If the color on your TV screen is not correct or the black and white colors are off, run Start Picture Test Settings Support Self Diagnosis Start Picture Test If the test results indicate that the problem is not caused by the TV, do the following: Confirm that the video input connectors are connected to the correct external device video output connectors. Check the other connections as well. If the TV is connected to an external device via a component cable, confirm that the Pb, Pr, and Y jacks are plugged into their proper connectors. If the colors on your TV are correct but just a little too dark or bright, try adjusting the following settings first. Settings Picture Expert Settings Backlight Settings Picture Expert Settings Contrast Settings Picture Expert Settings Brightness Settings Picture Expert Settings Sharpness Settings Picture Expert Settings Color Settings Picture Expert Settings Tint (G/R) If you notice ghosting or blurring on the screen, use the Auto Motion Plus Settings function to resolve the issue. Settings Picture Expert Settings Auto Motion Plus Settings  The problem Try this! Unwanted Powering Off Problems Powering On Unable to find a Channel The TV image does not look as good as it did in the store. The picture is distorted. The color is wrong or missing. If your TV appears to turn off by itself, try disabling some of the TV's energy efficiency functions. See if Sleep Timer has been enabled. The Sleep Timer automatically turns the TV off after a specified period of time. Settings General System Manager Time Sleep Timer If the Sleep Timer has not been enabled, see if Auto Power Off Off Timer has been enabled and disable it. Settings General Eco Solution Auto Power Off Settings General System Manager Time Off Timer If you are having problems powering on your TV, there are a number of things to check before calling the service department. Confirm that the TV's power cord is connected correctly at both ends and that the remote control is operating normally. Make sure that the antenna cable or cable TV cable is firmly connected. If you have a cable box or satellite box, confirm that it is plugged in and turned on. If your TV is not connected to a cable box or satellite box, run Auto Program Settings Broadcasting Auto Program Store displays are all tuned to digital, HD (high definition) channels. If you have an analog cable box or satellite box, upgrade to a digital cable box or satellite box. Use HDMI or Component cables to deliver HD (high definition) picture quality. Many HD channels are upscaled from SD (Standard Definition) content. Look for a channel that is broadcasting HD content. Cable/Satellite Subscribers: Try HD channels from the channel lineup. Air/Cable Antenna Connection: Try HD channels after running the Auto Program function. Settings Broadcasting Auto Program Adjust the cable box or satellite box's video output resolution to 1080i or 720p. The compression of video content may cause picture distortions, especially in fast moving pictures from sports programs and action movies. If the signal reception is weak or poor, screen distortion may be visible but it is not a malfunction. Mobile phones used close to the TV (within 3.2 ft) may cause noise on analog and digital channels. If you're using a Component connection, make sure that the Component cables are connected to the correct jacks. Incorrect or loose connections may cause color problems or a blank screen.  The problem Try this! The color is poor or the picture is not bright enough. There is a dotted line on the edge of the screen. The picture is black and white. If the test picture does not appear or there is noise or distortion, the TV may have a problem. Contact Samsung's Call Center for assistance. If the test picture is displayed properly, there may be a problem with an external device. Please check the connections. If the problem persists, check the signal strength or refer to the external device's user manual. Go to Picture and then adjust the Picture Mode Brightness Sharpness , and Color settings. Settings Picture Picture Mode Settings Picture Expert Settings Brightness Settings Picture Expert Settings Sharpness Settings Picture Expert Settings Color See if Power Saving Mode has been enabled. Settings General Eco Solution Power Saving Mode Try resetting the picture. Settings Picture Expert Settings Reset Picture Change Picture Size Settings 16:9 Standard Settings Picture Picture Size Settings 16:9 Standard If you are using AV or analog equipment, disconnect the adapter from the Component (Blue) input port on the TV and connect it to the AV (Yellow) input port. The Component or AV input port may not be provided depending on the model or geographical area. Check whether Grayscale is set to Settings General Accessibility Grayscale There Is a Problem with the Picture. When the TV has trouble with the picture, these steps may help resolve the problem.Inverting the screen color. Settings General Accessibility Color Inversion Try Now You can invert the colors of the text and background displayed on the TV screen to make it easier to read them. Color Inversion is on, some Accessibility menus are not available. This function may not be supported depending on the model or geographical area."
'How do I fix blurring issues on TV screen?',"'To fix blurring issues on a TV screen, you can try adjusting the Auto Motion Plus settings in the Picture Expert settings. This function can help resolve the issue of ghosting or blurring on the screen.'","There Is a Problem with the Picture. When the TV has trouble with the picture, these steps may help resolve the problem.Setting the screen to black and white. Settings General Accessibility Grayscale Try Now You can change the color of the TV screen to black and white to sharpen blurred edges caused by colors. Grayscale is on, some Accessibility menus are not available. This function may not be supported depending on the model or geographical area.Testing the picture. Settings Support Self Diagnosis Start Picture Test Try Now Before you review the list of problems and solutions below, use Start Picture Test to determine if the problem is caused by the TV. Start Picture Test displays a high definition picture you can examine for flaws or faults. The problem Try this! Flickering and Dimming Component Connections/ Screen Color Screen Brightness Ghosting, Blurring, or Juddering If your TV is flickering or dimming sporadically, you may need to disable some of the energy efficiency features. Disable Ambient Light Detection Power Saving Mode , or Motion Lighting Settings General Eco Solution Ambient Light Detection Settings General Eco Solution Power Saving Mode Settings General Eco Solution Motion Lighting If the color on your TV screen is not correct or the black and white colors are off, run Start Picture Test Settings Support Self Diagnosis Start Picture Test If the test results indicate that the problem is not caused by the TV, do the following: Confirm that the video input connectors are connected to the correct external device video output connectors. Check the other connections as well. If the TV is connected to an external device via a component cable, confirm that the Pb, Pr, and Y jacks are plugged into their proper connectors. If the colors on your TV are correct but just a little too dark or bright, try adjusting the following settings first. Settings Picture Expert Settings Backlight Settings Picture Expert Settings Contrast Settings Picture Expert Settings Brightness Settings Picture Expert Settings Sharpness Settings Picture Expert Settings Color Settings Picture Expert Settings Tint (G/R) If you notice ghosting or blurring on the screen, use the Auto Motion Plus Settings function to resolve the issue. Settings Picture Expert Settings Auto Motion Plus Settings  The problem Try this! Unwanted Powering Off Problems Powering On Unable to find a Channel The TV image does not look as good as it did in the store. The picture is distorted. The color is wrong or missing. If your TV appears to turn off by itself, try disabling some of the TV's energy efficiency functions. See if Sleep Timer has been enabled. The Sleep Timer automatically turns the TV off after a specified period of time. Settings General System Manager Time Sleep Timer If the Sleep Timer has not been enabled, see if Auto Power Off Off Timer has been enabled and disable it. Settings General Eco Solution Auto Power Off Settings General System Manager Time Off Timer If you are having problems powering on your TV, there are a number of things to check before calling the service department. Confirm that the TV's power cord is connected correctly at both ends and that the remote control is operating normally. Make sure that the antenna cable or cable TV cable is firmly connected. If you have a cable box or satellite box, confirm that it is plugged in and turned on. If your TV is not connected to a cable box or satellite box, run Auto Program Settings Broadcasting Auto Program Store displays are all tuned to digital, HD (high definition) channels. If you have an analog cable box or satellite box, upgrade to a digital cable box or satellite box. Use HDMI or Component cables to deliver HD (high definition) picture quality. Many HD channels are upscaled from SD (Standard Definition) content. Look for a channel that is broadcasting HD content. Cable/Satellite Subscribers: Try HD channels from the channel lineup. Air/Cable Antenna Connection: Try HD channels after running the Auto Program function. Settings Broadcasting Auto Program Adjust the cable box or satellite box's video output resolution to 1080i or 720p. The compression of video content may cause picture distortions, especially in fast moving pictures from sports programs and action movies. If the signal reception is weak or poor, screen distortion may be visible but it is not a malfunction. Mobile phones used close to the TV (within 3.2 ft) may cause noise on analog and digital channels. If you're using a Component connection, make sure that the Component cables are connected to the correct jacks. Incorrect or loose connections may cause color problems or a blank screen.  The problem Try this! The color is poor or the picture is not bright enough. There is a dotted line on the edge of the screen. The picture is black and white. If the test picture does not appear or there is noise or distortion, the TV may have a problem. Contact Samsung's Call Center for assistance. If the test picture is displayed properly, there may be a problem with an external device. Please check the connections. If the problem persists, check the signal strength or refer to the external device's user manual. Go to Picture and then adjust the Picture Mode Brightness Sharpness , and Color settings. Settings Picture Picture Mode Settings Picture Expert Settings Brightness Settings Picture Expert Settings Sharpness Settings Picture Expert Settings Color See if Power Saving Mode has been enabled. Settings General Eco Solution Power Saving Mode Try resetting the picture. Settings Picture Expert Settings Reset Picture Change Picture Size Settings 16:9 Standard Settings Picture Picture Size Settings 16:9 Standard If you are using AV or analog equipment, disconnect the adapter from the Component (Blue) input port on the TV and connect it to the AV (Yellow) input port. The Component or AV input port may not be provided depending on the model or geographical area. Check whether Grayscale is set to Settings General Accessibility Grayscale "
'What is the use of universal guide?',"""The Universal Guide app allows users to search for and enjoy various content such as TV shows, dramas, movies, sports broadcasts, and music in one place. It can recommend content based on the user's preferences and notify them of new drama series. Additionally, the Universal Guide app can be accessed on a mobile device using the Samsung SmartThings app.""","Using the Universal Guide App. Search for and enjoy content such as TV shows, dramas, movies, sports broadcasts, and music. Universal Guide The image on your TV may differ from the image above depending on the model and geographical area. Universal Guide is an app that allows you to search for and enjoy various content such as TV shows, dramas, movies, and music in one place. Universal Guide can recommend content tailored to your preferences and notify you of new drama series. You can use this feature on your mobile with Samsung SmartThings app. To enjoy the content from these apps on your TV, they must be installed on the TV. When you watch some paid content, you may need to make a payment using their associated app. Images may look blurry depending on the service provider's circumstances. This function may not be supported depending on the model or geographical area. For You TV Shows Movies Sports Music On Now Accessibility Guidance. Provides a menu and a remote control guide that aid the visually impaired.Using additional functions. You can use the following features on the Source screen. Connection Guide : Displays device connection instructions. Universal Remote : Lets you register external devices to your Samsung Smart Remote and control them using the Remote. This function may not be supported depending on the model or geographical area. For more information, refer to External Devices with the Samsung Smart Remote - Using the Universal "
'What is the feature of Bixby guide?','The feature of the Bixby guide is that it provides a tutorial on how to use Bixby quickly.',"Quick Guides. You can learn quickly how to run and use the frequently used functions, such as Bixby, Ambient Mode, and Smart Hub.Running Bixby. Press and hold the button on your Samsung Smart Remote, say a command, and then release the button. The TV recognizes the voice command. To view the Bixby guide, press the button once: When you press the button for the first time, the Using Bixby button appears at the bottom of the screen. Press the Select button. The Using Bixby popup window appears and a tutorial on using Bixby is shown. When you press the button after the first time, the Enter My Bixby button appears at the bottom of the screen. Press the Select button to go to the My Bixby screen.    Running Bixby. Press and hold the button on your Samsung Smart Remote, say a command, and then release the button. The TV recognizes the voice command. To view the Bixby guide, press the button once: When you press the button for the first time, the Using Bixby button appears at the bottom of the screen. Press the Select button. The Using Bixby popup window appears and a tutorial on using Bixby is shown. When you press the button after the first time, the Enter My Bixby button appears at the bottom of the screen. Press the Select button to go to the My Bixby screen.    "
'How to launch the last used app automatically?',"'To launch the last used app automatically, go to Settings -> General -> Smart Features -> Autorun Last App. Then, turn on the Autorun Last App function by pressing the Select button at the current menu. When this function is enabled, the last used app will automatically run when you turn on the TV.'","Launching the last used app automatically. Settings General Smart Features Autorun Last App Try Now Autorun Last App is set to , the last used app is automatically run when you turn on the TV. You can also turn this function on or off: press the Select button at the current menu. This function may not be supported depending on the app. Move Remove Installing and running an app. Installing an app Move to the app you want to install, and then press the Select button. The detailed information screen appears. Select Install . When the installation is complete, the Open menu appears. Select Open to run the app immediately. You can view installed apps on the Settings screen. If the TV's internal memory is insufficient, you can install some specific apps on a USB device. You can run an app installed on a USB device only when the USB device is connected to the TV. If the USB device is disconnected while an app is running, the app is terminated. You cannot run an app installed on a USB device on a PC or another TV. Launching an app You can run the app desired from Downloaded App The icons below appear within the selected app's icon and indicate the following: : The app is installed on a USB device. : The app has a password. : The app needs to be updated. : The app supports the mirroring function. Managing purchased or installed apps. Select Settings APPS . You can manage installed apps. The image on your TV may differ from the image above depending on the model and geographical area. Removing an app Select an app to delete. Select Delete The selected app is deleted. Ensure that the related app data is also removed when you remove an app. Adding apps to the Home Screen Select an app to add. Select Add to Home After the Home screen appears, move the selected app to the desired location. Press the Select button. The selected app is added to the Home Screen. Settings Delete Add to Home Lock/Unlock Move Reinstall View Details  Auto Update : ON Locking and unlocking apps Select an app to lock or unlock. Select Lock/Unlock The selected app is locked or unlocked. To lock or unlock an app, enter the PIN. The default PIN is You can set the PIN in Settings General System Manager Change PIN Moving apps Select an app to move. Select Move Move the app to the desired location. Press the Select button. The selected app is moved. This function may not be supported depending on the model or geographical area. Reinstalling an app Select the app to install again. Select Reinstall Reinstallation starts. Checking the app information details Select the app to check. Select View Details The app information screen appears. Automatically updating apps Installed apps can be automatically updated. If you do not want apps automatically updated, set Auto Update OFF Automatic update is enabled only when the TV is connected to the Internet."
'Where do I find the list of my favorite channels?',"'You can find the list of your favorite channels by pressing the right directional button on your remote control to access the Live TV Channel List, then selecting ""Favorites"" and choosing the desired list among the five favorites lists displayed on the screen. Only favorites lists that contain registered channels will display the channels you have selected as your favorites.'","Creating a Personal Favorites List. Designate frequently watched channels as favorite channels. Favorite channels are highlighted in the Edit Channels and Channel List screens with the symbol. You can create up to five favorites lists so that your family members can create their own personal favorites list.Viewing and selecting channels on Favorites lists only. Live TV Channel List Press the right directional button on your remote control. Select Favorites Select the desired list among the five favorites lists on the screen. The channels in the selected favorites list appear. Only favorites lists that contain registered channels will display channels.Adding channels to a favorites list. Select channels to add, and then select the icon. The selected channels are added to the favorites list."
